"Package Name","category","URL","Need Dependency","Installable"
"polymake(3.2r2-3)","math","http://mirrors.kernel.org/ubuntu/pool/universe/p/polymake/polymake_3.2r2-3_amd64.deb",1,0
"r-cran-rgl(0.99.9-1)","math","http://mirrors.kernel.org/ubuntu/pool/universe/r/rgl/r-cran-rgl_0.99.9-1_amd64.deb",1,0
"assimp-utils(4.1.0~dfsg-3)","utils","http://mirrors.kernel.org/ubuntu/pool/universe/a/assimp/assimp-utils_4.1.0~dfsg-3_amd64.deb",1,0
"fcitx-table-emoji(0.2.4-1)","utils","http://mirrors.kernel.org/ubuntu/pool/universe/f/fcitx-table-other/fcitx-table-emoji_0.2.4-1_all.deb",1,0
"ucimf-chewing(0.3-2)","utils","http://mirrors.kernel.org/ubuntu/pool/universe/u/ucimf-chewing/ucimf-chewing_0.3-2_amd64.deb",1,0
"kpatch-dkms(0.5.0-0ubuntu1)","kernel","http://mirrors.kernel.org/ubuntu/pool/universe/k/kpatch/kpatch-dkms_0.5.0-0ubuntu1_amd64.deb",1,0
"virtualbox-dkms(5.2.10-dfsg-6)","kernel","http://mirrors.kernel.org/ubuntu/pool/multiverse/v/virtualbox/virtualbox-dkms_5.2.10-dfsg-6_all.deb",1,0
"xen-system-amd64(4.9.2-0ubuntu1)","kernel","http://mirrors.kernel.org/ubuntu/pool/universe/x/xen/xen-system-amd64_4.9.2-0ubuntu1_amd64.deb",1,0
"edb(1.31-3)","misc","http://mirrors.kernel.org/ubuntu/pool/universe/e/edb/edb_1.31-3_all.deb",1,0
"hovercraft(2.1-3)","misc","http://mirrors.kernel.org/ubuntu/pool/universe/h/hovercraft/hovercraft_2.1-3_all.deb",1,0
